School Name,School Type,Address,Postcode,Phone #,LGA Name
Spring Gully Primary School,Primary,104-110 Spring Gully Road,3550,03 5443 7230,Greater Bendigo (C)
Mallacoota P-12 College,Pri/Sec,25 Bucknall Street,3892,03 5158 0254,East Gippsland (S)
Langwarrin Primary School,Primary,90 Warrandyte Road,3910,03 9789 7346,Frankston (C)
Cockatoo Primary School,Primary,19-33 Belgrave-Gembrook Road,3781,03 5968 8017,Cardinia (S)
Tyabb Railway Station Primary School,Primary,88 The Crescent,3913,03 5977 4324,Mornington Peninsula (S)
Belgrave South Primary School,Primary,175 Colby Drive,3160,03 9754 2505,Yarra Ranges (S)
Sydenham - Hillside Primary School,Primary,39-49 Community Hub,3037,03 9361 5300,Brimbank (C)
Canterbury Primary School,Primary,Molesworth Street,3126,03 9836 4537,Boroondara (C)
The Lake Primary School,Primary,225 Seventeenth Street,3505,03 5023 3468,Mildura (RC)
Grey Street Primary School (Traralgon),Primary,30 - 44 Grey Street,3844,03 5174 2055,Latrobe (C)
Brunswick North Primary School,Primary,Pearson Street,3055,03 9383 1400,Moreland (C)
Fawkner Primary School,Primary,Lorne Street,3060,03 9357 3579,Moreland (C)
Alphington Primary School,Primary,Yarralea Street,3078,03 9499 2200,Yarra (C)
Bona Vista Primary School,Primary,520 Bona Vista Road,3820,03 5627 8435,Baw Baw (S)
Banyan Fields Primary School,Primary,90 Cadles Road,3201,03 9782 1333,Frankston (C)
Norris Bank Primary School,Primary,146 Settlement Road,3083,03 9467 2206,Whittlesea (C)
Macclesfield Primary School,Primary,405 Macclesfield Road,3782,03 5968 4734,Yarra Ranges (S)
Black Rock Primary School,Primary,71 Arkaringa Crescent,3193,03 9598 2293,Bayside (C)
Mount Evelyn Primary School,Primary,33 Monbulk Road,3796,03 9736 2233,Yarra Ranges (S)
Kilsyth Primary School,Primary,Durham Road,3137,03 9725 4320,Yarra Ranges (S)
Wonthaggi Primary School,Primary,18 Billson Street,3995,03 5672 1600,Bass Coast (S)
Spotswood Primary School,Primary,Melbourne Road,3015,03 9391 1323,Hobsons Bay (C)
Clyde Primary School,Primary,13 Oroya Grove,3978,03 5998 5293,Casey (C)
Noble Park Primary School,Primary,65 Buckley Street,3174,03 9546 8811,Greater Dandenong (C)
Deepdene Primary School,Primary,958a Burke Road,3103,03 9817 1917,Boroondara (C)
Clifton Creek Primary School,Primary,1020 Deptford Road,3875,03 5157 9251,East Gippsland (S)
Kennington Primary School,Primary,60 Crook Street,3550,03 5443 2011,Greater Bendigo (C)
Cardinia Primary School,Primary,2405 Ballarto Road,3978,03 5998 8323,Cardinia (S)
Grahamvale Primary School,Primary,85 Grahamvale Road,3631,03 5821 4219,Greater Shepparton (C)
Irymple South Primary School,Primary,3208 Fifteenth Street,3498,03 5024 5345,Mildura (RC)
Glen Huntly Primary School,Primary,Grange Road,3163,03 9571 2933,Glen Eira (C)
Nanneella Estate Primary School,Primary,159 Bennett Road,3561,03 5484 5395,Campaspe (S)
Wantirna Primary School,Primary,120 Mountain Highway,3152,03 9801 1938,Knox (C)
Wonthaggi North Primary School,Primary,Cnr White & Wentworth Road,3995,03 5672 4697,Bass Coast (S)
Melton South Primary School,Primary,38 - 46 Exford Road,3338,03 9743 2922,Melton (C)
Chelsea Primary School,Primary,34-44 Argyle Ave,3196,03 9773 2055,Kingston (C)
Nowa Nowa Primary School,Primary,Gorge Road,3887,03 5155 7225,East Gippsland (S)
Hampton Primary School,Primary,528 Hampton Street,3188,03 9598 1412,Bayside (C)
Victorian College For The Deaf,Special,597 St Kilda Road,3004,03 9510 1706,Melbourne (C)
Balliang East Primary School,Primary,4 School Road,3340,03 5369 5148,Moorabool (S)
Edithvale Primary School,Primary,42-54 Edithvale Road,3196,03 9772 1393,Kingston (C)
Orrvale Primary School,Primary,300 Channel Road,3631,03 5829 2490,Greater Shepparton (C)
Penders Grove Primary School,Primary,370 Victoria Road,3071,03 9484 1076,Darebin (C)
Underbool Primary School,Primary,67 Cotter Street,3509,03 5094 6342,Mildura (RC)
Caulfield Junior College,Primary,186 Balaclava Road,3161,03 9509 6872,Glen Eira (C)
Seaford Primary School,Primary,Mcrae Street,3198,03 9786 1357,Frankston (C)
Wattle Park Primary School,Primary,225 Warrigal Road,3125,03 9808 2165,Whitehorse (C)
Murrabit Group School,Primary,61 Browning Avenue,3579,03 5457 2284,Gannawarra (S)
Preston West Primary School,Primary,383 Murray Road,3072,03 9470 1546,Darebin (C)
Thornbury Primary School,Primary,16-22 Hutton Street,3071,03 9484 3254,Darebin (C)
Footscray West Primary School,Primary,Argyle Street,3012,03 9687 1535,Maribyrnong (C)
Wandin North Primary School,Primary,220 Warburton Highway,3139,03 5964 4570,Yarra Ranges (S)
Gardenvale Primary School,Primary,66 Landcox Street,3187,03 9596 2871,Bayside (C)
Beaumaris Primary School,Primary,79-99 Dalgetty Road,3193,03 9589 2619,Bayside (C)
Currawa Primary School,Primary,2 Ridge Road,3647,03 5828 6581,Greater Shepparton (C)
Cann River P-12 College,Pri/Sec,20-24 Tamboon Road,3890,03 5158 6245,East Gippsland (S)
Altona Primary School,Primary,109 Blyth Street,3018,03 9398 2925,Hobsons Bay (C)
Devon Meadows Primary School,Primary,Worthing Road,3977,03 5998 2304,Casey (C)
Upper Ferntree Gully Primary School,Primary,Talaskia Road,3156,03 9758 1527,Knox (C)
Eildon Primary School,Primary,45 High Street,3713,03 5774 2074,Murrindindi (S)
Bittern Primary School,Primary,Portsmouth Road,3918,03 5983 9590,Mornington Peninsula (S)
Colbinabbin Primary School,Primary,56 Mitchell Street,3559,03 5432 9330,Campaspe (S)
Stanhope Primary School,Primary,48 Midland Highway,3623,03 5857 2514,Campaspe (S)
Hurstbridge Primary School,Primary,Main Road,3099,03 9718 2386,Nillumbik (S)
Coburg West Primary School,Primary,185-187 Reynard Street,3058,03 9386 1286,Moreland (C)
Elwood Primary School,Primary,Scott Street,3184,03 9531 2762,Port Phillip (C)
Mont Albert Primary School,Primary,Barloa Road,3127,03 9890 1331,Whitehorse (C)
Dhurringile Primary School,Primary,605 Langham Road,3610,03 5826 6222,Greater Shepparton (C)
Strathewen Primary School,Primary,5 School Ridge Road,3099,03 9714 8278,Nillumbik (S)
Don Valley Primary School,Primary,Old Dalry Road,3139,03 5967 3321,Yarra Ranges (S)
Reservoir Primary School,Primary,Duffy Street,3073,03 9460 5798,Darebin (C)
Yallourn North Primary School,Primary,2A Reserve Street,3825,03 5115 8500,Latrobe (C)
Toorloo Arm Primary School,Primary,315 Lake Tyers Beach Road,3909,03 5156 5517,East Gippsland (S)
Girgarre Primary School,Primary,528 Winter Road,3624,03 5854 6275,Campaspe (S)
Yaapeet Primary School,Primary,4 Woods Street,3424,03 5395 7260,Yarriambiack (S)
Gladysdale Primary School,Primary,550 Little Yarra Road,3797,03 5966 6202,Yarra Ranges (S)
Mildura West Primary School,Primary,219-227 Ninth Street,3500,03 5023 1336,Mildura (RC)
Moonee Ponds Primary School,Primary,87 Wilson Street,3039,03 9375 2511,Moonee Valley (C)
Kingsville Primary School,Primary,58 Bishop Street,3013,03 9314 5869,Maribyrnong (C)
Kallista Primary School,Primary,72 Monbulk Road,3791,03 9755 2633,Yarra Ranges (S)
Essendon North Primary School,Primary,112 Keilor Road,3041,03 9379 3979,Moonee Valley (C)
Ascot Vale West Primary School,Primary,Langs Rd,3032,03 9370 8784,Moonee Valley (C)
Hartwell Primary School,Primary,Milverton St,3124,03 9889 4012,Boroondara (C)
Red Cliffs Primary School,Primary,Murray Avenue,3496,03 5024 1044,Mildura (RC)
Wattle Glen Primary School,Primary,16-24 Reynolds Road,3096,03 9438 1259,Nillumbik (S)
Hampton Park Primary School,Primary,32 Somerville Road,3976,03 9799 1440,Casey (C)
Colac West Primary School,Primary,12 Ligar Street,3250,03 5231 2479,Colac-Otway (S)
Ripponlea Primary School,Primary,25 Carrington Grove,3183,03 9527 5728,Glen Eira (C)
Noojee Primary School,Primary,65 School Road,3833,03 5628 9558,Baw Baw (S)
Montmorency Primary School,Primary,60a Rattray Road,3094,03 9434 5944,Banyule (C)
Moriac Primary School,Primary,785 Hendy Main Road,3240,03 5266 1298,Surf Coast (S)
Ringwood North Primary School,Primary,172 Oban Road,3134,03 9876 3411,Maroondah (C)
Red Cliffs East Primary School,Primary,Block 67a Nerrum Avenue,3496,03 5024 1147,Mildura (RC)
Lloyd Street Primary School,Primary,Lloyd Street,3145,03 9573 4600,Stonnington (C)
Bayswater North Primary School,Primary,Stuart Street,3153,03 9729 1744,Maroondah (C)
Westbreen Primary School,Primary,2-10 Pascoe Street,3044,03 9306 9481,Moreland (C)
Point Cook Prep - Year 9 College,Pri/Sec,18 - 50 Ponsford Drive,3030,03 8348 7100,Wyndham (C)
Footscray North Primary School,Primary,14 Rosamond Road,3011,03 9317 9047,Maribyrnong (C)
Airly Primary School,Primary,226 Airly Estate Road,3851,03 5149 8251,Wellington (S)
Camberwell South Primary School,Primary,Peate Avenue,3146,03 9889 4295,Boroondara (C)
Parkdale Primary School,Primary,305-311 Nepean Highway,3195,03 9580 1451,Kingston (C)
Hughesdale Primary School,Primary,Brine Street,3166,03 9570 4808,Monash (C)
Westgarth Primary School,Primary,45 Brooke St & 311 Clarke St,3070,03 9481 5577,Darebin (C)
Auburn South Primary School,Primary,419 Tooronga Road,3123,03 9882 2140,Boroondara (C)
Aspendale Primary School,Primary,23 Laura Street,3195,03 9580 3255,Kingston (C)
Eltham North Primary School,Primary,35-47 Wattletree Road,3095,03 9439 9639,Nillumbik (S)
Merrivale Primary School,Primary,158 Merrivale Drive,3280,03 5562 7172,Warrnambool (C)
Dandenong West Primary School,Primary,32 Birdwood Avenue,3175,03 9792 2868,Greater Dandenong (C)
Yarra Road Primary School,Primary,222 - 228 Yarra Road,3136,03 9723 4182,Maroondah (C)
Aberfeldie Primary School,Primary,1 Doone Street,3040,03 9337 8084,Moonee Valley (C)
Manifold Heights Primary School,Primary,20-24 Strachan Avenue,3218,03 5229 9643,Greater Geelong (C)
Nungurner Primary School,Primary,455 Nungurner Road,3909,03 5156 3232,East Gippsland (S)
Dingley Primary School,Primary,111-115 Centre Dandenong Road,3172,03 9551 3555,Kingston (C)
Cardross Primary School,Primary,415 Dairtnunk Avenue,3496,03 5024 1267,Mildura (RC)
Albion Primary School,Primary,Adelaide Street,3020,03 9311 1325,Brimbank (C)
Lemnos Primary School,Primary,Lemnos Road,3631,03 5829 9287,Greater Shepparton (C)
Tarwin Lower Primary School,Primary,School Road,3956,03 5663 5263,South Gippsland (S)
Nepean Special School,Special,33 Klauer St,3198,03 9786 9111,Frankston (C)
Brunswick South West Primary School,Primary,South Daly Street,3055,03 9387 6886,Moreland (C)
Bell Primary School,Primary,78A Oakover Road,3072,03 9480 5622,Darebin (C)
Chatham Primary School,Primary,Weybridge Street,3127,03 9830 1933,Boroondara (C)
Caulfield South Primary School,Primary,24 Bundeera Road,3162,03 9578 3718,Glen Eira (C)
Ashburton Primary School,Primary,Fakenham Road,3147,03 9885 2559,Boroondara (C)
Bentleigh West Primary School,Primary,23 Brewer Road,3204,03 9557 1228,Glen Eira (C)
Seaspray Primary School,Primary,15 Prospect Road,3851,03 5146 4393,Wellington (S)
Anglesea Primary School,Primary,85 Camp Road,3230,03 5263 1231,Surf Coast (S)
Briar Hill Primary School,Primary,25 Gladstone Road,3088,03 9435 1633,Banyule (C)
Zeerust Primary School,Primary,245 Zeerust Road,3634,03 5829 8282,Greater Shepparton (C)
McKinnon Primary School,Primary,253 Tucker Road,3204,03 9578 1851,Glen Eira (C)
Clayton South Primary School,Primary,539 Clayton Road,3169,03 9558 0599,Kingston (C)
Ivanhoe East Primary School,Primary,35 Warncliffe Road,3079,03 9499 2171,Banyule (C)
Cobains Primary School,Primary,3 Crofts Road,3851,03 5149 8274,Wellington (S)
Mildura South Primary School,Primary,593 Deakin Avenue,3501,03 5023 2148,Mildura (RC)
Tate Street Primary School Geelong,Primary,Tate Street,3219,03 5221 2780,Greater Geelong (C)
Brunswick North West Primary School,Primary,Culloden Street,3055,03 9386 4624,Moreland (C)
Katandra West Primary School,Primary,17-27 Bankin Street,3634,03 5828 3350,Greater Shepparton (C)
Fleetwood Primary School,Primary,97 Fleetwood Drive,3805,03 9705 2281,Casey (C)
Sandringham East Primary School,Primary,9 Holloway Road,3191,03 9598 1704,Bayside (C)
Seaholme Primary School,Primary,Cnr Millers Rd & Civic Parade,3018,03 9398 2806,Hobsons Bay (C)
Somers Primary School,Primary,87 Camp Hill Road,3927,03 5983 5546,Mornington Peninsula (S)
Upwey Primary School,Primary,15 Darling Avenue,3158,03 9754 2369,Yarra Ranges (S)
Coburg North Primary School,Primary,180 O'Hea Street,3058,03 9354 1660,Moreland (C)
Rosanna Primary School,Primary,Grandview Grove,3084,03 9457 2592,Banyule (C)
Wantirna South Primary School,Primary,16 Tyner Road,3152,03 9801 1900,Knox (C)
Strathmore Primary School,Primary,14-34 Lloyd Street,3041,03 9379 3991,Moonee Valley (C)
Balwyn North Primary School,Primary,Buchanan Avenue,3104,03 9859 4258,Boroondara (C)
Solway Primary School,Primary,Winton Road,3147,03 9885 2421,Boroondara (C)
Wangaratta West Primary School,Primary,47-49 Phillipson Street,3677,03 5721 3491,Wangaratta (RC)
Mount Beauty Primary School,Primary,Lakeside Avenue,3699,03 5754 4354,Alpine (S)
Newlands Primary School,Primary,2-26 Murphy Street,3072,03 9354 2928,Darebin (C)
Newborough Primary School,Primary,24 Murray Road,3825,03 5127 1448,Latrobe (C)
Traralgon (Stockdale Road) Primary School,Primary,7 Stockdale Road,3844,03 5174 1607,Latrobe (C)
Gowrie Street Primary School Shepparton,Primary,1-19 Gowrie Street,3630,03 5821 3100,Greater Shepparton (C)
Tootgarook Primary School,Primary,Carmichael Street,3941,03 5985 2864,Mornington Peninsula (S)
Moe (South Street) Primary School,Primary,34 South Street,3825,03 5127 1512,Latrobe (C)
Roslyn Primary School,Primary,183 Roslyn Road,3216,03 5243 3538,Greater Geelong (C)
Newport Gardens Primary School,Primary,Cnr Woods St & Maddox Rd,3015,03 9391 2168,Hobsons Bay (C)
St Georges Road Primary School Shepparton,Primary,120 St Georges Road,3630,03 5821 3383,Greater Shepparton (C)
Malvern Valley Primary School,Primary,Abbotsford Avenue,3145,03 9569 5820,Stonnington (C)
Newborough East Primary School,Primary,300 Old Sale Road,3825,03 5126 1399,Latrobe (C)
Belmore School,Special,49 Stroud Street,3103,03 9859 8762,Boroondara (C)
Croxton Special School,Special,159-165 Beaconsfield Parade,3070,03 9482 5482,Darebin (C)
Herne Hill Primary School,Primary,2-24 Gwynne Street,3218,03 5278 4117,Greater Geelong (C)
Frankston East Primary School,Primary,6A Ashleigh Avenue,3199,03 9789 9552,Frankston (C)
Selby Primary School,Primary,2 Morley Street,3159,03 9754 2675,Yarra Ranges (S)
Reservoir East Primary School,Primary,58 Boldrewood Parade,3073,03 9460 1569,Darebin (C)
Tucker Road Bentleigh Primary School,Primary,16 Tucker Rd,3204,03 9557 2044,Glen Eira (C)
Katunga Primary School,Primary,24 CARTER STREET,3640,03 5864 6365,Moira (S)
Ballarat North Primary School,Primary,513 Landsborough Street,3350,03 5333 3387,Ballarat (C)
Bandiana Primary School,Primary,44 Leumeah Road,3694,02 6056 2826,Wodonga (C)
Greythorn Primary School,Primary,Reading Avenue,3104,03 9857 9762,Boroondara (C)
Warragul North Primary School,Primary,5 O'Dowds Road,3820,03 5623 4066,Baw Baw (S)
Horsham West and Haven Primary School,Primary,24 Hillary Street,3400,03 5382 1285,Horsham (RC)
Traralgon (Kosciuszko Street) Primary School,Primary,36 Kosciuszko Street,3844,03 5174 2512,Latrobe (C)
Traralgon (Liddiard Road) Primary School,Primary,148 Liddiard Road,3844,03 5174 1795,Latrobe (C)
Eastwood Primary School,Primary,Alexandra Road,3135,03 9870 6103,Maroondah (C)
Pascoe Vale South Primary School,Primary,411-429 Reynard Street,3044,03 9386 4301,Moreland (C)
Lalor Primary School,Primary,26 Maxwell Street,3075,03 9465 3037,Whittlesea (C)
Reservoir West Primary School,Primary,5a Carrington Road,3073,03 9478 8211,Darebin (C)
Coatesville Primary School,Primary,21 Mackie Road,3165,03 9570 1652,Glen Eira (C)
Old Orchard Primary School,Primary,88 Koonung Road,3130,03 9877 7899,Whitehorse (C)
Huntingdale Primary School,Primary,Grange Street,3167,03 9544 2318,Monash (C)
Box Hill North Primary School,Primary,Elizabeth Street,3129,03 9890 5023,Whitehorse (C)
Ferntree Gully North Primary School,Primary,111 Forest Road,3156,03 9758 1662,Knox (C)
Ararat West Primary School,Primary,Kneebone Street,3377,03 5352 1909,Ararat (RC)
Oak Park Primary School,Primary,Willett Avenue,3046,03 9306 9182,Moreland (C)
Dandenong North Primary School,Primary,117-125 Cleeland Street,3175,03 9794 7899,Greater Dandenong (C)
Bairnsdale West Primary School,Primary,Cnr Wallace & Mckean Streets,3875,03 5152 3516,East Gippsland (S)
Kalianna Special School,Special,Nolan Street,3550,03 5442 1311,Greater Bendigo (C)
Harrisfield Primary School,Primary,495 Princes Hwy,3174,03 9546 9210,Greater Dandenong (C)
Pascoe Vale North Primary School,Primary,Kent Road,3044,03 9354 3343,Moreland (C)
Belle Vue Primary School,Primary,20 Highview Road,3104,03 9859 6123,Boroondara (C)
Oberon Primary School,Primary,28 Dorothy Avenue,3216,03 5243 1613,Greater Geelong (C)
Moe Primary School,Primary,Cnr Elizabeth & King Streets,3825,03 5127 2607,Latrobe (C)
St Albans East Primary School,Primary,7-17 Station Avenue,3021,03 9366 2071,Brimbank (C)
Bourchier Street Primary School Shepparton,Primary,Cnr Bourchier St & Balaclava R,3630,03 5821 3488,Greater Shepparton (C)
Swan Hill North Primary School,Primary,118 Chapman Street,3585,03 5032 4577,Swan Hill (RC)
Sunshine Heights Primary School,Primary,1-19 Mailey Street,3020,03 8311 7100,Brimbank (C)
Sunshine North Primary School,Primary,65 - 71 Suffolk Road,3020,03 9311 2400,Brimbank (C)
Banyule Primary School,Primary,Banyule Road,3084,03 9459 0732,Banyule (C)
Portland South Primary School,Primary,133-141 Edgar Street,3305,03 5523 2911,Glenelg (S)
Rosanna Golf Links Primary School,Primary,Interlaken Parade,3084,03 9457 4178,Banyule (C)
Cheltenham East Primary School,Primary,Silver Street,3192,03 9583 5746,Kingston (C)
Cranbourne South Primary School,Primary,Pearcedale Road,3977,03 9782 2999,Casey (C)
Yarrunga Primary School,Primary,38 - 50 White Street,3677,03 5721 2682,Wangaratta (RC)
Ballarat Specialist School,Special,25 Gillies Street North,3355,03 5334 1302,Ballarat (C)
Preston North East Primary School,Primary,93 Tyler Street,3072,03 9478 8078,Darebin (C)
Orbost North Primary School,Primary,Rupert St,3888,03 5154 1217,East Gippsland (S)
Nelson Park School,Special,Libau Avenue,3215,03 5278 3620,Greater Geelong (C)
Craigieburn Primary School,Primary,87 - 91 Grand Boulevard,3064,03 9308 1228,Hume (C)
Warrnambool East Primary School,Primary,Ward Street,3280,03 5562 4100,Warrnambool (C)
Colac South West Primary School,Primary,238 Wilson Street,3250,03 5232 1170,Colac-Otway (S)
George Street Primary School - Hamilton,Primary,32-48 George Street,3300,03 5571 1478,Southern Grampians (S)
Valkstone Primary School,Primary,44 Valkstone Street,3165,03 9570 3986,Glen Eira (C)
Overport Primary School,Primary,Towerhill Road,3199,03 9783 8777,Frankston (C)
Wembley Primary School,Primary,32 St Leonards Ave,3013,03 9314 7054,Maribyrnong (C)
Rosamond Special School,Special,276 Ballarat Road,3019,03 9311 1511,Maribyrnong (C)
Bonbeach Primary School,Primary,29-63 Breeze Street,3196,03 9772 3471,Kingston (C)
Heatherhill Primary School,Primary,959 Heatherton Road,3171,03 9546 7562,Greater Dandenong (C)
Beaumaris North Primary School,Primary,Wood Street,3193,03 9589 5449,Bayside (C)
Hamlyn Banks Primary School,Primary,2-24 Chaucer Street,3215,03 5278 3100,Greater Geelong (C)
Yarraman Oaks Primary School,Primary,27 Liege Avenue,3174,03 9792 4406,Greater Dandenong (C)
Mount Pleasant Road Nunawading Primary School,Primary,Mt Pleasant Road,3131,03 9878 1730,Whitehorse (C)
Glenroy West Primary School,Primary,York Street,3046,03 9306 8955,Moreland (C)
Dandenong South Primary School,Primary,52 Kirkham Road,3175,03 9792 3726,Greater Dandenong (C)
St Albans North Primary School,Primary,George Street,3021,03 9366 2029,Brimbank (C)
Avondale Primary School,Primary,Clarendon St,3034,03 9318 1755,Moonee Valley (C)
Beverley Hills Primary School,Primary,2 - 14 Cassowary Street,3109,03 9842 1428,Manningham (C)
Wodonga West Primary School,Primary,Lawrence Street,3690,02 6024 1188,Wodonga (C)
Frankston Heights Primary School,Primary,10 Kalmia Street,3199,03 9783 4988,Frankston (C)
Kerrimuir Primary School,Primary,178 Dorking Road,3129,03 9898 1494,Whitehorse (C)
Heathmont East Primary School,Primary,Louis Street,3135,03 9729 5439,Maroondah (C)
Strathmore North Primary School,Primary,Mascoma Street,3041,03 9379 6575,Moonee Valley (C)
Oakleigh South Primary School,Primary,Riley Street,3167,03 9570 1016,Monash (C)
Thomastown East Primary School,Primary,82 Cedar Street,3074,03 9465 3032,Whittlesea (C)
Mount Waverley Heights Primary School,Primary,36 Solomon Street,3149,03 9807 8120,Monash (C)
East Bentleigh Primary School,Primary,Bignell Road,3165,03 9570 3525,Glen Eira (C)
Watsonia Primary School,Primary,Nell Street West,3087,03 9435 2917,Banyule (C)
Parktone Primary School,Primary,Robert Street,3195,03 9580 1207,Kingston (C)
Antonio Park Primary School,Primary,631-639 Whitehorse Road,3132,03 9874 4371,Whitehorse (C)
Kingsbury Primary School,Primary,1A Maryborough Avenue,3083,03 9462 2711,Darebin (C)
Katandra School,Special,2 Walsh Street,3204,03 9578 6991,Glen Eira (C)
Ardeer Primary School,Primary,Suspension Street,3022,03 9363 1194,Brimbank (C)
Westall Primary School,Primary,Fairbank Road,3169,03 9546 8964,Kingston (C)
Tullamarine Primary School,Primary,Broadmeadows Road,3043,03 9338 2826,Hume (C)
Guthridge Primary School,Primary,Dawson Street,3850,03 5144 3633,Wellington (S)
Park Orchards Primary School,Primary,1-3 Bowmore Avenue,3114,03 9876 1249,Manningham (C)
Albion North Primary School,Primary,67-73 Furlong Road,3020,03 9312 5900,Brimbank (C)
Blackburn Lake Primary School,Primary,12 - 14 Florence Street,3130,03 9894 2855,Whitehorse (C)
Laburnum Primary School,Primary,Janet Street,3130,03 9898 5811,Whitehorse (C)
Rollins Primary School,Primary,Wolseley Grove,3215,03 5278 3022,Greater Geelong (C)
Heatherwood School,Special,370-380 Springvale Road,3111,03 9842 8319,Manningham (C)
Bellaire Primary School,Primary,59-71 Larcombe Street,3216,03 5243 5203,Greater Geelong (C)
Pinewood Primary School,Primary,27-35 Pinewood Drive,3149,03 8847 3200,Monash (C)
Broadmeadows Primary School,Primary,62-70 Blair Street,3047,03 9302 6060,Hume (C)
Moomba Park Primary School,Primary,111 Anderson Road,3060,03 9359 2028,Moreland (C)
Keilor Heights Primary School,Primary,Ronald Grove,3033,03 9336 1739,Moonee Valley (C)
Ainslie Parklands Primary School,Primary,Hinkley Ave,3136,03 9870 1566,Maroondah (C)
Parkmore Primary School,Primary,38-54 Jolimont Road,3131,03 9878 5556,Whitehorse (C)
Lara Primary School,Primary,120 Flinders Avenue,3212,03 5282 1427,Greater Geelong (C)
Mullum Primary School,Primary,18 Panfield Avenue,3134,03 9870 2120,Maroondah (C)
Cranbourne Park Primary School,Primary,1 Tucker Street,3977,03 5996 1142,Casey (C)
Viewbank Primary School,Primary,2-10 Nevin Parade,3084,03 9459 1512,Banyule (C)
Greenhills Primary School,Primary,Mine Street,3088,03 9435 4181,Banyule (C)
Upwey South Primary School,Primary,91 Morris Road,3158,03 9757 0200,Yarra Ranges (S)
Simpson Primary School,Primary,1 Cockayne Street,3266,03 5594 3298,Corangamite (S)
Invergordon Primary School,Primary,1292 Invergordon Road,3636,03 5865 5287,Moira (S)
Eltham East Primary School,Primary,16 Grove Street,3095,03 9439 9793,Nillumbik (S)
Belvedere Park Primary School,Primary,30 Belvedere Road,3198,03 9786 3205,Frankston (C)
Essex Heights Primary School,Primary,22-30 Essex Road,3149,03 9807 4944,Monash (C)
Mountain Gate Primary School,Primary,Adele Avenue,3156,03 9758 2811,Knox (C)
Fairhills Primary School,Primary,Manuka Drive,3156,03 9758 3007,Knox (C)
Boronia West Primary School,Primary,25 Tormore Road,3155,03 9762 2510,Knox (C)
Southmoor Primary School,Primary,Rica Street,3189,03 9555 1235,Kingston (C)
Ringwood Heights Primary School,Primary,60 Summit Crescent,3134,03 9870 3050,Maroondah (C)
Glenroy Specialist School,Special,208 Hilton St,3046,03 9304 2263,Moreland (C)
Ruskin Park Primary School,Primary,18 - 20 Ruskin Ave,3136,03 9723 3886,Maroondah (C)
Emerson School,Special,1430 Heatherton Road,3175,03 9791 8900,Greater Dandenong (C)
Fyans Park Primary School,Primary,37 Cook Street,3220,03 5221 3772,Greater Geelong (C)
Karingal Primary School,Primary,Mallum Avenue,3199,03 9789 0514,Frankston (C)
Mount View Primary School,Primary,Shepherd Road,3150,03 9560 0471,Monash (C)
Syndal South Primary School,Primary,14 Montgomery Avenue,3149,03 9802 5277,Monash (C)
Montmorency South Primary School,Primary,64 Buena Vista Drive,3094,03 9439 6201,Banyule (C)
Berendale School,Special,2 Berend Street,3188,03 9555 6141,Bayside (C)
Altona North Primary School,Primary,51 Cresser Street,3025,03 9391 4572,Hobsons Bay (C)
Burwood Heights Primary School,Primary,Cnr Hawthorn & Mahoneys Rds,3151,03 9803 8311,Whitehorse (C)
Stawell West Primary School,Primary,80-88 Cooper Street,3380,03 5358 1661,Northern Grampians (S)
Watsonia Heights Primary School,Primary,61 Henry Street,3088,03 9435 4617,Banyule (C)
Forest Street Primary School,Primary,Cnr Forest & Hancock Streets,3355,03 5339 2110,Ballarat (C)
Pembroke Primary School,Primary,Pembroke Road,3138,03 9725 6689,Yarra Ranges (S)
Mahogany Rise Primary School,Primary,25 Forster Avenue,3200,03 9786 3211,Frankston (C)
Wilmot Road Primary School Shepparton,Primary,84-90 Wilmot Road,3630,03 5821 4953,Greater Shepparton (C)
Bundoora Primary School,Primary,Balmoral Avenue,3083,03 9467 2601,Banyule (C)
University Park Primary School,Primary,Lister Street,3021,03 9366 1356,Brimbank (C)
St Albans Heights Primary School,Primary,Norwich Street,3021,03 9366 3127,Brimbank (C)
Kerang South Primary School,Primary,Mitchell Street,3579,03 5450 3900,Gannawarra (S)
Hume Valley School,Special,15- 41 Koroit Avenue,3047,03 9309 3477,Hume (C)
Mentone Park Primary School,Primary,Broome Avenue,3194,03 9583 4935,Kingston (C)
Donvale Primary School,Primary,Elata Street,3111,03 9842 3373,Manningham (C)
Bell Park North Primary School,Primary,16-26 Barton Street,3215,03 5278 3548,Greater Geelong (C)
Boronia Heights Primary School,Primary,Landscape Drive,3155,03 9729 2614,Knox (C)
Glenallen School,Special,7 Allen Street,3150,03 9561 1966,Monash (C)
Churchill Primary School,Primary,Coleman Parade,3842,03 5122 1343,Latrobe (C)
Montpellier Primary School,Primary,21-31 Lambhill Crescent,3216,03 5243 2521,Greater Geelong (C)
Bayswater South Primary School,Primary,Enfield Drive,3153,03 9729 2862,Knox (C)
Seaford North Primary School,Primary,81 Hallifax Street,3198,03 9786 5674,Frankston (C)
Morwell Park Primary School,Primary,76 - 82 Vary Street,3840,03 5134 1793,Latrobe (C)
Lalor East Primary School,Primary,39 Cleveland Street,3074,03 9465 4350,Whittlesea (C)
Jackson School,Special,40-46 Mulhall Drive,3021,03 9366 4322,Brimbank (C)
Carlton Primary School,Primary,150 Palmerston Street,3053,03 9347 6022,Melbourne (C)
Oberon South Primary School,Primary,Tintinara Crescent,3216,03 5243 2997,Greater Geelong (C)
